Holmes;Bodley;hbodley0@over-blog.com;575-498-8849;;capability
Rosella;Patten;rpatten1@discovery.com;435-873-3645;853-792-4526;
Rutger;Wyley;rwyley2@goo.gl;542-133-4383;;Organic
Iain;Stoker;istoker3@diigo.com;950-686-5656;;Persistent
Rock;Ellcome;rellcome4@loc.gov;601-498-7656;;
Dode;Edger;dedger5@springer.com;852-282-1022;;heuristic
Winne;Pickett;wpickett6@sakura.ne.jp;181-726-5482;611-575-0385;maximized
Glenna;Critzen;gcritzen7@domainmarket.com;683-134-9981;;
Archie;Medmore;amedmore8@free.fr;854-493-7081;476-834-4058;database
Guenevere;Pindar;gpindar9@sun.com;823-589-5665;;tangible
Lon;Tillard;ltillarda@altervista.org;814-958-5884;;
Pansie;Trahear;ptrahearb@hp.com;464-449-4091;;encompassing
Lorrie;Duquesnay;lduquesnayc@pinterest.com;478-557-7941;;
Sherye;Shakespear;sshakespeard@twitpic.com;299-870-5600;517-617-0011;
Sephira;Adenot;sadenote@hatena.ne.jp;115-164-0607;;
John;Doe;mail@mail.com;+1;+2;
